scientific_name	strain	gcf_accession	phylum_domain	class	order	family	genus	species	habitat	oxygen_requirement	gut_flag	pathogenicity
Methanobrevibacter smithii	ATCC 35061	GCF_000016525.1	Euryarchaeota [Archaea]	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	smithii	gut (human)	anaerobe (methanogen)	gut_dominant	non_pathogenic
Methanobrevibacter ruminantium	M1	GCF_000024185.1	Euryarchaeota [Archaea]	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	ruminantium	gut (ruminant)	anaerobe (methanogen)	gut_dominant	non_pathogenic
Methanothermobacter thermautotrophicus	Delta H	GCF_027554905.1	Euryarchaeota [Archaea]	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	thermautotrophicus	thermophilic environments	anaerobe (methanogen)	non_gut	non_pathogenic
Halobacterium salinarum	NRC-1	GCF_000006805.1	Euryarchaeota [Archaea]	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	salinarum	hypersaline lakes	aerobe	non_gut	non_pathogenic (extremophile)
Haloferax volcanii	DS2	GCF_000025685.1	Euryarchaeota [Archaea]	Halobacteria	Halobacteriales	Haloferacaceae	Haloferax	volcanii	hypersaline lakes	aerobe	non_gut	non_pathogenic (extremophile)
Methanocaldococcus jannaschii	DSM 2661	GCF_000091665.1	Euryarchaeota [Archaea]	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	jannaschii	hydrothermal vents	anaerobe (methanogen)	non_gut	non_pathogenic (extremophile)
Methanococcus maripaludis	DSM 2067	GCF_002945325.1	Euryarchaeota [Archaea]	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	maripaludis	marine (coastal sediment)	anaerobe (methanogen)	non_gut	non_pathogenic
Methanosarcina acetivorans	C2A	GCF_000007345.1	Euryarchaeota [Archaea]	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	acetivorans	anaerobic sediments	anaerobe (methanogen)	gut_associated	non_pathogenic
Methanospirillum hungatei	JF-1	GCF_000013445.1	Euryarchaeota [Archaea]	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanospirillum	hungatei	anaerobic sediments	anaerobe (methanogen)	non_gut	non_pathogenic
Thermococcus kodakarensis	KOD1	GCF_000009965.1	Euryarchaeota [Archaea]	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	kodakarensis	hydrothermal vents	obligate_anaerobe	non_gut	non_pathogenic (extremophile)
Pyrococcus furiosus	DSM 3638	GCF_008245085.1	Euryarchaeota [Archaea]	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	furiosus	hydrothermal vents	obligate_anaerobe	non_gut	non_pathogenic (extremophile)
Pyrococcus horikoshii	OT3	GCF_000011105.1	Euryarchaeota [Archaea]	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	horikoshii	hydrothermal vents	obligate_anaerobe	non_gut	non_pathogenic (extremophile)
Archaeoglobus fulgidus	DSM 4304	GCF_000008665.1	Euryarchaeota [Archaea]	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	fulgidus	hydrothermal vents	obligate_anaerobe	non_gut	non_pathogenic (extremophile)
Methanopyrus kandleri	AV19	GCF_000007185.1	Euryarchaeota [Archaea]	Methanopyri	Methanopyrales	Methanopyraceae	Methanopyrus	kandleri	hydrothermal vents	anaerobe (methanogen)	non_gut	non_pathogenic (extremophile)
Sulfolobus acidocaldarius	DSM 639	GCF_000012285.1	Crenarchaeota [Archaea]	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	acidocaldarius	hot springs (acidic)	aerobe	non_gut	non_pathogenic (extremophile)
Pyrobaculum aerophilum	IM2	GCF_000007225.1	Crenarchaeota [Archaea]	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	aerophilum	hot springs (boiling, marine)	facultative_anaerobe	non_gut	non_pathogenic (extremophile)
Aeropyrum pernix	K1	GCF_000011125.1	Crenarchaeota [Archaea]	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aeropyrum	pernix	hot springs (marine hydrothermal)	aerobe	non_gut	non_pathogenic (extremophile)
Nitrosopumilus maritimus	SCM1	GCF_000018465.1	Nitrososphaeria [Archaea]	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	maritimus	marine (oligotrophic)	aerobe	non_gut	non_pathogenic
Nitrososphaera viennensis	EN76	GCF_000698785.1	Nitrososphaeria [Archaea]	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	viennensis	soil	aerobe	non_gut	non_pathogenic
